IFOH	IFOL	IFOV	Noise	SNR	i	m	q	s	binary
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	5	60	15	4	0.75	0
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	5	60	20	4	0.75	0
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	5	60	25	4	0.75	0
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	5	60	30	4	0.75	0
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	5	60	35	4	0.75	0
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	5	60	40	4	0.75	0
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	5	60	60	4	0.75	0
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	5	60	80	4	0.75	0
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	5	60	100	4	0.75	0
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	13	60	15	2	0.75	0
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	13	60	15	4	0.75	1
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	13	60	20	2	0.75	0
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	13	60	20	4	0.75	1
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	13	60	25	2	0.75	0
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	13	60	25	4	0.75	1
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	13	60	30	2	0.75	0
